architecture,selected_prefix_count,mean_coverage,mean_hamming_risk,mean_exact_match_error,mean_brier_score,mean_log_loss
ecg_transformer,1738,0.80537534754402229,0.11311852704257752,0.3605677023398543,0.082374262889059913,0.27698464020696556
ecg_transformer,1739,0.80583873957367935,0.11309181521947465,0.36055204140310521,0.082384364463354426,0.27700960660824653
ecg_transformer,1740,0.80630213160333641,0.11314176245210712,0.36072796934865897,0.082379524576871088,0.27700721390114597
ecg_transformer,1741,0.80676552363299348,0.11322994447635444,0.36090369519433274,0.082431508646991322,0.27713127517274994
ecg_transformer,1742,0.80722891566265054,0.1132797550707997,0.36107921928817449,0.082473067503568601,0.27724889272404324
ecg_transformer,1743,0.80769230769230782,0.11336775674125059,0.36144578313253017,0.082520003721253385,0.2774117825007501
ecg_transformer,1744,0.80815569972196466,0.1134174311926604,0.36162079510703365,0.082547210759038675,0.27747648441148182
ecg_transformer,1745,0.80861909175162194,0.11354345749761208,0.3619866284622732,0.082598741372137199,0.27759507335624362
ecg_transformer,1746,0.809082483781279,0.11355479190530722,0.36197021764032078,0.082617476494438333,0.27765235897411616
ecg_transformer,1747,0.80954587581093607,0.11356611333714924,0.36195382560580042,0.082628214588415086,0.27768201564839096
ecg_transformer,1748,0.81000926784059313,0.11361556064073212,0.36212814645308922,0.082637211844149405,0.27770564194167296
ecg_transformer,1749,0.81047265987025019,0.11366495140080031,0.36230226796264531,0.08264776298504227,0.27773207824065455
ecg_transformer,1750,0.81093605189990736,0.11371428571428556,0.36247619047619045,0.082679827697436883,0.27780624719846653
ecg_transformer,1751,0.81139944392956442,0.11376356367789819,0.36264991433466592,0.08268110478876349,0.27781355133054281
ecg_transformer,1752,0.81186283595922148,0.11392694063926924,0.36301369863013694,0.08279699170589995,0.27815743861918052
ecg_transformer,1753,0.81232622798887855,0.11401407111618163,0.36337706788362806,0.082838924485369059,0.27826397697242755
